date,ticker,type,price,shares,amount,commission,reason
2020-09-28,6098,BUY,4179.2640380859375,200,836402.8076171875,550.0,Entry 3 days before record date
2020-09-28,7974,BUY,5230.1799755859365,100,523567.99755859363,550.0,Entry 3 days before record date
2020-09-29,7203,BUY,1254.8609135742188,700,878952.6395019531,550.0,Add position on ex-dividend drop (0.9%)
2020-09-29,6758,SELL,1602.6796099853516,1200,1922157.7634398316,1057.7685425903321,Window filled (reached pre-ex price 1610)
2020-09-29,9432,BUY,77.40405661010742,12900,999062.3302703857,550.0,Add position on ex-dividend drop (0.7%)
2020-09-29,8306,SELL,367.7725631713867,5400,1984879.5566128693,1092.2845126190186,Window filled (reached pre-ex price 369)
2020-09-29,9433,BUY,1178.6075148925781,800,943436.0119140625,550.0,Add position on ex-dividend drop (2.0%)
2020-09-29,4063,SELL,2551.925764160156,600,1530313.3229939209,842.1355021728516,Window filled (reached pre-ex price 2565)
2020-09-29,9984,SELL,6218.7320239257815,200,1243062.3442625245,684.060522631836,Window filled (reached pre-ex price 6166)
2020-09-29,7974,SELL,5320.494802246094,200,1063513.7060209718,585.2544282470703,Window filled (reached pre-ex price 5230)
2020-10-06,6098,SELL,4189.8573984375,400,1675021.1907473437,921.76862765625,Window filled (reached pre-ex price 4158)
2020-10-07,9432,SELL,79.3417233428955,38500,3053556.348701477,1100.0,Window filled (reached pre-ex price 78)
2020-10-07,9433,SELL,1206.2784091796875,2400,2893968.18203125,1100.0,Window filled (reached pre-ex price 1201)
2020-10-26,7203,SELL,1228.2386730957032,2100,2578201.2135009766,1100.0,Max holding period reached (20 days)
2021-03-29,7203,BUY,1497.8492028808591,600,899259.5217285155,550.0,Entry 3 days before record date
2021-03-29,9432,BUY,104.24535633087157,9600,1001305.836257794,550.415481427002,Entry 3 days before record date
2021-03-29,8306,BUY,526.8365927124023,1900,1001540.0703929488,550.5442393844604,Entry 3 days before record date
2021-03-29,4063,BUY,3526.8163696289057,200,705913.2739257811,550.0,Entry 3 days before record date
2021-03-29,9984,BUY,8860.274326171873,100,886577.4326171874,550.0,Entry 3 days before record date
2021-03-29,6098,BUY,5263.690444335937,100,526919.0444335938,550.0,Entry 3 days before record date
2021-03-29,7974,BUY,5703.003522949218,100,570850.3522949218,550.0,Entry 3 days before record date
2021-03-30,8306,SELL,529.7711828613282,3800,2012030.494873047,1100.0,Window filled (reached pre-ex price 527)
2021-03-30,9984,SELL,8882.513666992187,200,1775525.6568950682,977.0765033691406,Window filled (reached pre-ex price 8860)
2021-03-30,6098,SELL,5244.121750488282,200,1048247.4967051025,576.8533925537109,Window filled (reached pre-ex price 5264)
2021-03-31,7203,SELL,1533.8601531982422,1200,1839619.8361367797,1012.3477011108399,Window filled (reached pre-ex price 1490)
2021-04-02,4063,SELL,3546.677829589844,400,1417890.8627134277,780.2691225097657,Window filled (reached pre-ex price 3509)
2021-04-05,7974,SELL,5672.23630859375,200,1133823.3157248048,623.9459939453126,Window filled (reached pre-ex price 5675)
2021-04-26,9432,SELL,97.66664860534668,19200,1874168.293413384,1031.359809272461,Max holding period reached (20 days)
2021-09-28,7203,BUY,1867.3665527343749,500,934233.2763671874,550.0,Entry 3 days before record date
2021-09-28,6758,BUY,2550.576643066406,300,765722.9929199219,550.0,Entry 3 days before record date
2021-09-28,9432,BUY,113.55487117767333,8800,999832.8663635254,550.0,Entry 3 days before record date
2021-09-28,8306,BUY,598.7333505249023,1600,958523.3608398438,550.0,Entry 3 days before record date
2021-09-28,9433,BUY,1688.259162597656,500,844679.581298828,550.0,Entry 3 days before record date
2021-09-28,4063,BUY,3736.524243164062,200,747854.8486328125,550.0,Entry 3 days before record date
2021-09-28,9984,BUY,6633.956909179687,100,663945.6909179686,550.0,Entry 3 days before record date
2021-09-28,6098,BUY,6997.152033691405,100,700265.2033691405,550.0,Entry 3 days before record date
2021-09-28,7974,BUY,4818.334606933593,200,964216.9213867186,550.0,Entry 3 days before record date
2021-09-29,7203,SELL,1866.7964813232422,1000,1865769.7432585144,1026.7380647277832,Window filled (reached pre-ex price 1867)
2021-09-29,6758,BUY,2454.1859282226565,300,736805.778466797,550.0,Add position on ex-dividend drop (3.5%)
2021-09-29,9432,BUY,112.03095721435547,8900,997625.5192077637,550.0,Add position on ex-dividend drop (1.0%)
2021-09-29,8306,BUY,593.5864757080078,1600,950288.3611328125,550.0,Add position on ex-dividend drop (0.6%)
2021-09-29,4063,BUY,3628.935767578125,200,726337.1535156249,550.0,Add position on ex-dividend drop (2.6%)
2021-09-29,9984,BUY,6538.814709960938,100,654431.4709960938,550.0,Add position on ex-dividend drop (1.1%)
2021-09-29,6098,BUY,6717.995109375,100,672349.5109374999,550.0,Add position on ex-dividend drop (3.7%)
